age,job,marital,education,balance,housing,loan,y
26,management,single,tertiary,212,no,no,no
38,blue-collar,married,secondary,757,yes,no,no
38,management,married,tertiary,1198,yes,no,no
56,services,divorced,secondary,218,yes,no,no
37,blue-collar,married,secondary,520,yes,no,no
47,management,single,tertiary,86,no,no,yes
31,technician,single,secondary,118,no,no,no
55,housemaid,married,secondary,5,no,no,no
36,admin.,married,secondary,-206,yes,no,no
50,unemployed,divorced,unknown,1088,no,no,yes
45,admin.,married,secondary,1097,yes,yes,no
39,blue-collar,married,unknown,0,no,no,no
40,admin.,married,secondary,5,no,no,no
55,management,divorced,tertiary,347,yes,no,no
42,admin.,divorced,secondary,814,yes,no,no
52,technician,married,secondary,279,no,yes,no
36,blue-collar,single,primary,367,no,no,no
34,management,married,secondary,0,no,no,no
28,admin.,single,secondary,53,no,no,no
39,services,single,tertiary,1222,yes,no,no
59,retired,married,primary,866,no,yes,no
41,services,divorced,secondary,0,yes,no,no
44,unemployed,married,secondary,0,yes,no,yes
44,technician,married,secondary,-1317,yes,no,no
40,services,married,secondary,0,yes,yes,no
56,unemployed,married,secondary,0,no,no,yes
53,self-employed,married,tertiary,451,yes,no,no
32,management,married,tertiary,1852,no,no,no
26,technician,single,secondary,3244,no,no,no
51,technician,married,secondary,1490,yes,no,no
43,technician,married,secondary,576,no,no,no
50,services,married,secondary,545,no,no,no
49,self-employed,married,secondary,289,yes,no,no
47,admin.,divorced,secondary,207,yes,no,no
32,admin.,divorced,secondary,714,no,no,no
37,services,divorced,secondary,490,yes,no,no
58,retired,married,unknown,662,yes,no,no
53,services,married,secondary,1563,yes,no,no
35,technician,married,secondary,1,no,no,no
55,management,divorced,tertiary,-207,no,no,no
49,blue-collar,single,secondary,-367,yes,no,no
37,technician,single,secondary,194,yes,no,no
57,unemployed,married,primary,5126,yes,no,no
60,technician,married,secondary,216,yes,yes,no
37,admin.,divorced,secondary,506,yes,no,no
51,technician,divorced,tertiary,3962,yes,no,no
36,admin.,single,secondary,-207,no,no,no
39,technician,married,secondary,186,no,no,no
42,blue-collar,married,primary,199,yes,no,no
36,admin.,married,secondary,854,yes,no,no
38,management,married,tertiary,106,no,no,no
31,technician,single,secondary,25,no,no,no
39,student,single,tertiary,2103,no,no,yes
56,management,married,tertiary,363,no,no,no
35,blue-collar,single,secondary,278,no,no,no
47,admin.,married,secondary,2152,no,no,no
38,services,married,secondary,-301,no,yes,no
43,entrepreneur,married,primary,629,yes,no,no
39,blue-collar,married,secondary,1044,yes,no,no
40,blue-collar,married,secondary,123,yes,no,no
45,self-employed,married,tertiary,430,yes,no,no
48,blue-collar,married,secondary,578,yes,no,no
42,entrepreneur,married,secondary,46,no,no,no
54,technician,married,secondary,306,no,no,no
59,retired,single,secondary,2,no,no,yes
45,housemaid,divorced,primary,221,no,no,no
58,blue-collar,divorced,secondary,1103,yes,no,no
47,technician,married,secondary,332,yes,no,no
60,technician,married,secondary,358,no,no,no
30,management,married,secondary,503,yes,no,no
35,technician,divorced,secondary,2823,yes,no,no
40,unemployed,single,tertiary,97,yes,yes,no
48,blue-collar,married,unknown,439,yes,no,no
36,technician,divorced,secondary,-94,yes,no,no
31,unemployed,divorced,tertiary,256,yes,no,no
54,services,married,secondary,514,yes,no,no
49,blue-collar,married,primary,0,yes,no,no
46,admin.,divorced,secondary,0,yes,no,no
40,unemployed,divorced,secondary,507,yes,no,no
30,management,single,tertiary,604,no,yes,no
39,technician,single,secondary,614,yes,no,no
31,technician,single,secondary,44,no,no,no
34,blue-collar,single,secondary,186,no,no,no
31,services,single,secondary,469,no,yes,no
28,student,single,secondary,330,no,no,no
58,retired,married,secondary,195,no,no,no
32,services,married,secondary,289,yes,no,no
41,admin.,married,tertiary,108,yes,no,no
47,entrepreneur,married,secondary,583,yes,no,no
58,admin.,divorced,secondary,0,yes,no,no
31,management,married,tertiary,197,yes,no,no
37,self-employed,single,secondary,349,yes,yes,no
43,management,divorced,secondary,51,no,no,yes
34,blue-collar,married,secondary,-271,yes,yes,no
38,services,married,secondary,304,no,yes,no
38,technician,married,tertiary,447,yes,no,no
37,blue-collar,married,primary,708,yes,no,no
40,retired,married,primary,407,yes,no,no
28,management,single,tertiary,33,no,no,no
56,technician,married,secondary,778,no,no,no
36,unemployed,married,secondary,533,yes,no,no
60,management,married,tertiary,553,yes,no,no
36,management,married,tertiary,763,no,no,no
56,blue-collar,married,secondary,659,yes,no,no
37,services,single,secondary,174,yes,no,no
36,technician,single,secondary,210,no,no,no
38,admin.,married,secondary,-500,no,yes,no
48,services,married,secondary,74,no,no,no
53,management,married,secondary,478,yes,no,no
38,technician,married,secondary,10,no,no,no
27,services,married,primary,921,no,no,no
27,technician,married,tertiary,10451,yes,no,no
46,entrepreneur,married,primary,0,no,no,no
45,services,married,secondary,-75,yes,no,no
46,blue-collar,married,primary,1941,yes,no,no
0,blue-collar,married,secondary,244,yes,yes,no
30,admin.,single,secondary,585,no,yes,no
40,blue-collar,married,secondary,746,yes,yes,no
60,management,married,primary,92,no,no,no
32,services,single,secondary,6857,no,no,no
48,services,married,secondary,51,yes,yes,no
58,admin.,married,secondary,580,no,yes,no
45,technician,married,secondary,1818,no,no,no
47,admin.,single,secondary,15,no,no,no
53,management,married,primary,798,yes,no,no
43,services,married,unknown,790,no,no,no
53,technician,married,secondary,7984,yes,no,no
54,self-employed,married,secondary,534,yes,no,no
36,admin.,married,secondary,96,no,no,yes
31,unemployed,single,secondary,284,yes,no,yes
36,blue-collar,single,secondary,50,no,no,no
38,services,single,secondary,-196,yes,no,no
31,technician,divorced,secondary,304,no,no,no
35,admin.,single,tertiary,994,no,no,no
34,management,married,tertiary,28,yes,no,no
35,blue-collar,married,primary,0,no,yes,no
46,management,married,tertiary,587,no,no,no
27,student,single,secondary,1411,no,no,no
38,services,single,secondary,4317,yes,no,no
47,management,single,tertiary,585,yes,no,no
43,blue-collar,married,primary,575,no,no,no
28,technician,single,tertiary,-481,yes,yes,no
54,technician,married,secondary,719,yes,no,no
31,services,married,secondary,442,yes,no,no
42,management,single,tertiary,336,yes,no,no
34,entrepreneur,married,tertiary,-508,yes,no,no
37,management,married,tertiary,767,no,yes,no
29,unemployed,single,secondary,875,no,no,no
26,student,single,tertiary,376,no,no,no
34,blue-collar,married,primary,1873,yes,no,no
29,technician,single,secondary,120,no,no,no
26,management,single,tertiary,761,no,no,no
33,technician,single,secondary,1327,yes,no,no
30,admin.,single,tertiary,267,no,no,no
42,self-employed,single,secondary,924,no,no,no
29,admin.,single,secondary,196,no,no,no
41,management,married,primary,243,yes,no,no
34,technician,married,primary,1301,no,no,no
35,technician,married,secondary,723,no,no,no
29,management,married,tertiary,-45,no,no,no
28,services,single,secondary,0,no,no,no
34,management,married,tertiary,926,no,yes,no
38,services,married,secondary,8876,no,no,no
31,admin.,single,tertiary,5,no,yes,no
26,management,single,tertiary,0,no,yes,no
39,technician,married,tertiary,794,no,no,no
27,management,single,tertiary,1414,yes,no,no
35,admin.,married,secondary,643,yes,no,no
41,management,single,tertiary,-24,yes,no,no
44,unemployed,single,tertiary,7822,yes,no,no
59,blue-collar,married,primary,0,no,no,no
37,management,married,secondary,10,no,yes,no
34,unemployed,divorced,tertiary,182,yes,no,no
40,blue-collar,married,primary,418,no,no,no
36,services,married,secondary,145,yes,no,no
41,blue-collar,divorced,secondary,-224,yes,no,no
36,management,married,tertiary,853,yes,yes,no
54,unemployed,divorced,secondary,6745,no,no,no
38,self-employed,married,secondary,290,yes,no,no
46,housemaid,married,primary,0,no,no,no
38,management,married,tertiary,661,yes,no,no
55,management,married,primary,621,no,yes,no
33,management,single,tertiary,474,yes,no,no
36,admin.,married,secondary,131,yes,no,no
40,technician,married,secondary,504,yes,no,no
46,blue-collar,divorced,primary,216,no,no,no
83,retired,married,primary,425,no,no,no
46,admin.,married,primary,469,yes,no,no
38,technician,married,secondary,201,yes,no,no
36,unemployed,divorced,secondary,1366,no,yes,no
59,blue-collar,married,secondary,410,yes,no,no
30,management,single,tertiary,45,no,no,no
31,technician,single,secondary,775,no,no,no
34,management,married,tertiary,490,yes,no,no
35,services,married,secondary,-50,no,no,no
29,admin.,single,secondary,1027,yes,no,yes
55,self-employed,divorced,secondary,1530,no,no,no
34,admin.,married,secondary,50,yes,no,no
31,services,single,secondary,125,no,no,no
32,management,single,tertiary,207,yes,no,no
32,admin.,married,secondary,56,yes,no,no
37,blue-collar,married,secondary,-67,no,no,no
36,admin.,married,secondary,0,yes,no,no
41,housemaid,married,primary,1332,no,no,no
42,blue-collar,married,primary,1455,yes,no,no
40,services,married,secondary,683,yes,no,no
39,management,single,tertiary,-145,yes,no,no
52,unemployed,married,primary,3175,no,no,no
45,management,married,tertiary,474,yes,yes,no
60,retired,married,primary,174,yes,yes,no
40,management,married,tertiary,543,yes,no,no
36,management,married,tertiary,82,no,no,no
57,admin.,married,secondary,11,no,no,no
34,technician,married,tertiary,-624,no,no,no
37,management,married,primary,1404,yes,no,no
49,admin.,married,secondary,359,yes,no,no
37,management,married,tertiary,59,yes,yes,no
38,entrepreneur,married,tertiary,136,yes,yes,no
41,admin.,married,secondary,437,yes,no,no
46,services,divorced,unknown,973,no,no,no
32,management,married,tertiary,55,no,no,no
38,blue-collar,married,primary,489,yes,no,no
40,services,divorced,secondary,687,yes,no,yes
44,management,married,secondary,991,no,no,no
48,admin.,single,secondary,303,yes,yes,no
35,management,single,tertiary,688,no,no,no
28,management,single,tertiary,224,yes,no,no
31,technician,single,tertiary,1625,no,no,no
33,management,single,tertiary,1021,no,no,no
43,management,married,secondary,16,no,no,no
60,retired,married,tertiary,2557,yes,no,yes
31,admin.,single,secondary,338,no,no,no
29,management,single,tertiary,29,no,no,no
27,student,single,secondary,1625,no,no,no
36,blue-collar,married,secondary,-42,no,yes,no
33,management,single,tertiary,5437,no,no,no
33,admin.,married,secondary,3519,no,no,no
45,housemaid,married,tertiary,40,yes,no,no
43,management,married,tertiary,0,no,no,no
34,blue-collar,married,secondary,7,yes,yes,no
43,technician,single,secondary,257,yes,no,no
53,admin.,divorced,secondary,372,no,yes,no
59,management,married,tertiary,3401,no,no,no
46,management,married,tertiary,5261,no,no,no
35,services,divorced,secondary,6,no,no,no
26,student,single,secondary,2469,no,no,no
49,self-employed,married,tertiary,147,no,yes,no
40,management,married,tertiary,0,yes,no,no
53,technician,single,tertiary,-167,yes,yes,no
61,housemaid,single,unknown,893,no,no,no
36,unemployed,married,secondary,608,yes,no,no
32,management,married,tertiary,141,no,no,no
42,management,married,secondary,0,yes,yes,no
31,management,single,tertiary,630,no,no,no
28,student,single,secondary,689,no,no,no
35,services,married,secondary,630,yes,no,no
28,unemployed,single,tertiary,0,no,no,no
38,management,married,tertiary,1308,yes,no,yes
57,admin.,married,secondary,567,yes,no,no
33,entrepreneur,married,tertiary,606,yes,no,no
58,retired,married,secondary,1227,no,no,no
26,student,single,secondary,5569,no,no,no
41,,married,secondary,0,yes,no,no
45,management,married,tertiary,3857,yes,no,no
43,blue-collar,married,secondary,1109,yes,no,no
60,blue-collar,married,secondary,272,no,no,no
33,management,married,tertiary,73,yes,no,no
58,retired,married,secondary,158,yes,yes,no
45,unemployed,married,primary,0,yes,no,no
38,admin.,divorced,secondary,485,yes,no,no
29,management,single,tertiary,642,no,no,no
32,blue-collar,single,secondary,2142,no,no,no
41,services,divorced,secondary,840,yes,no,yes
27,blue-collar,married,primary,0,no,no,no
29,blue-collar,married,secondary,1074,no,no,no
48,blue-collar,divorced,secondary,-535,yes,no,no
39,management,married,unknown,1253,no,no,no
58,management,divorced,tertiary,5701,no,no,yes
27,admin.,single,tertiary,43,no,no,no
48,services,married,secondary,22,no,no,no
40,services,married,secondary,809,no,no,no
31,,single,primary,1,no,no,no
52,services,married,secondary,416,yes,no,no
43,blue-collar,married,secondary,597,yes,no,no
38,technician,single,secondary,103,yes,no,no
31,services,divorced,secondary,139,no,no,no
31,management,single,secondary,783,yes,no,no
53,technician,married,secondary,4930,no,yes,no
32,management,single,secondary,453,yes,no,no
75,,divorced,primary,46,no,no,no
37,technician,married,secondary,494,yes,no,no
75,retired,married,primary,3324,no,no,no
60,services,married,secondary,292,no,yes,no
61,management,married,tertiary,6016,no,no,yes
30,technician,single,secondary,57,no,no,no
48,blue-collar,single,primary,8990,no,no,yes
32,admin.,single,tertiary,2004,no,no,no
26,blue-collar,single,secondary,494,no,no,no
0,management,married,tertiary,1187,yes,yes,no
29,blue-collar,married,secondary,321,yes,yes,no
36,management,married,tertiary,630,no,no,yes
42,unemployed,single,secondary,1523,yes,no,no
57,management,married,secondary,123,no,no,no
37,management,single,tertiary,230,yes,yes,no
45,admin.,married,secondary,1214,yes,no,no
26,services,single,secondary,37,no,yes,no
35,technician,married,tertiary,1526,yes,no,no
41,services,divorced,secondary,-376,yes,no,no
33,admin.,married,secondary,482,yes,no,no
31,management,married,tertiary,4015,yes,no,no
31,management,single,tertiary,1017,no,no,no
38,unemployed,single,secondary,2876,no,no,no
39,admin.,divorced,secondary,442,yes,no,no
56,entrepreneur,married,secondary,5838,no,no,no
35,admin.,married,tertiary,1145,yes,no,no
33,blue-collar,single,secondary,123,no,no,no
31,management,single,tertiary,3283,no,no,yes
46,management,divorced,tertiary,665,yes,no,no
31,technician,married,secondary,671,no,no,no
30,self-employed,single,tertiary,432,yes,no,yes
57,technician,married,secondary,589,yes,no,no
26,technician,single,tertiary,15161,no,no,yes
32,admin.,single,secondary,613,yes,no,no
54,management,divorced,tertiary,2037,no,no,no
55,retired,married,secondary,-185,no,yes,no
67,retired,married,tertiary,2841,no,no,no
53,management,married,tertiary,1759,no,no,no
30,admin.,single,secondary,3156,no,no,no
29,admin.,single,secondary,-498,yes,no,no
46,technician,married,unknown,304,no,no,no
26,self-employed,single,tertiary,458,yes,yes,no
37,technician,single,tertiary,-1,yes,no,no
38,admin.,single,secondary,569,yes,yes,no
28,management,single,tertiary,233,no,no,no
41,management,single,tertiary,601,yes,yes,no
49,unemployed,married,primary,157,yes,no,no
36,management,single,unknown,601,no,no,no
40,entrepreneur,divorced,secondary,1247,yes,no,no
43,admin.,single,secondary,-247,yes,yes,yes
34,technician,married,secondary,4,yes,no,no
42,management,married,tertiary,477,yes,no,no
39,services,married,secondary,52,no,no,yes
33,unemployed,single,tertiary,617,no,no,no
53,technician,married,secondary,598,no,no,no
27,technician,single,unknown,0,yes,no,no
39,entrepreneur,married,tertiary,4,yes,yes,no
55,unemployed,married,secondary,1339,no,no,no
49,blue-collar,married,primary,4,yes,yes,no
47,technician,married,secondary,1167,yes,no,no
57,retired,married,secondary,485,no,no,no
83,retired,married,tertiary,6236,no,no,no
39,blue-collar,married,primary,541,yes,no,no
70,management,married,tertiary,13297,no,no,no
35,blue-collar,married,primary,526,yes,no,no
29,management,married,secondary,-420,yes,no,no
48,blue-collar,single,primary,623,yes,no,yes
32,management,single,tertiary,739,yes,no,no
31,management,divorced,tertiary,0,no,no,no
21,student,single,secondary,948,no,no,no
46,blue-collar,married,primary,977,no,yes,yes
28,technician,single,tertiary,172,yes,yes,no
41,blue-collar,divorced,primary,320,yes,no,no
26,student,single,secondary,0,no,no,yes
52,admin.,married,secondary,2851,no,yes,no
28,management,single,tertiary,-328,yes,no,no
43,management,married,primary,73,no,no,no
45,admin.,divorced,secondary,479,no,no,no
36,admin.,married,secondary,304,yes,no,no
51,services,married,secondary,615,no,no,no
45,admin.,married,secondary,1,no,no,no
39,management,married,tertiary,588,yes,yes,no
51,technician,married,secondary,100,no,no,yes
40,blue-collar,married,secondary,231,yes,no,no
28,admin.,married,secondary,629,no,no,no
38,technician,married,secondary,581,yes,no,no
30,services,single,secondary,3485,no,no,no
34,unemployed,single,secondary,847,no,no,no
32,technician,single,tertiary,1534,no,no,no
47,entrepreneur,divorced,secondary,186,no,no,no
37,self-employed,divorced,secondary,1082,no,no,no
46,blue-collar,married,secondary,-221,yes,yes,no
55,blue-collar,married,primary,145,no,no,no
53,blue-collar,divorced,primary,-1,yes,no,no
29,technician,divorced,secondary,-95,yes,no,no
35,management,single,unknown,342,no,yes,no
51,blue-collar,married,primary,2095,yes,yes,no
27,student,single,tertiary,24,yes,no,no
49,management,married,secondary,466,no,no,no
33,services,married,secondary,317,yes,no,no
29,student,single,tertiary,1679,no,no,no
50,technician,divorced,secondary,8,no,no,no
31,management,married,tertiary,40,no,no,no
44,technician,divorced,tertiary,245,yes,no,no
46,technician,married,secondary,317,yes,yes,no
37,technician,married,tertiary,0,yes,no,no
48,management,married,tertiary,7289,yes,no,no
65,retired,married,tertiary,1948,no,no,no
37,management,married,unknown,247,no,no,no
27,student,single,unknown,1444,no,no,no
36,admin.,married,secondary,606,yes,no,no
35,admin.,married,secondary,287,yes,no,no
58,retired,divorced,secondary,8266,yes,no,no
46,technician,married,secondary,1028,yes,no,no
55,admin.,single,secondary,986,no,yes,no
28,unemployed,married,primary,7459,yes,no,yes
40,technician,divorced,secondary,93,no,no,no
35,management,married,tertiary,194,no,no,no
37,admin.,married,secondary,2254,no,no,no
59,entrepreneur,divorced,secondary,0,no,yes,no
50,technician,divorced,secondary,0,no,no,no
65,retired,married,primary,1343,no,no,no
55,blue-collar,married,secondary,754,no,no,no
49,technician,married,secondary,1811,yes,yes,no
65,retired,married,tertiary,162,no,no,no
52,services,married,secondary,820,yes,no,no
35,blue-collar,married,primary,0,yes,yes,no
35,admin.,married,secondary,220,yes,no,no
33,management,single,tertiary,0,yes,no,no
39,technician,single,tertiary,5803,no,no,no
29,management,single,tertiary,2439,no,no,no
37,management,married,tertiary,751,yes,no,no
42,management,married,tertiary,11093,no,no,no
37,technician,married,secondary,318,no,no,no
31,management,single,tertiary,112,yes,no,no
31,management,single,tertiary,3295,no,no,no
37,management,married,tertiary,4089,yes,no,yes
37,blue-collar,married,primary,643,yes,yes,no
42,blue-collar,married,primary,718,no,no,no
45,technician,married,secondary,0,yes,yes,no
54,management,married,tertiary,67,yes,no,no
35,technician,married,tertiary,633,yes,yes,no
31,services,single,tertiary,620,no,no,no
39,blue-collar,single,secondary,-480,yes,yes,no
42,services,married,primary,124,yes,no,no
29,technician,single,secondary,286,no,no,no
33,services,divorced,secondary,69,yes,no,no
33,management,single,tertiary,153,yes,no,no
36,management,married,tertiary,806,yes,no,no
34,admin.,divorced,secondary,66,no,no,no
54,technician,divorced,secondary,0,yes,yes,no
49,management,divorced,tertiary,4961,yes,no,no
36,services,single,secondary,528,no,no,no
47,services,married,secondary,1160,yes,no,no
33,services,married,secondary,312,yes,yes,no
35,management,single,tertiary,539,yes,no,no
41,blue-collar,married,secondary,0,yes,no,no
26,services,single,tertiary,2803,no,no,no
36,services,single,secondary,774,yes,no,no
33,management,married,tertiary,644,yes,yes,no
36,services,single,secondary,5315,yes,no,no
60,retired,married,secondary,0,no,no,no
59,housemaid,married,primary,182,no,no,no
60,services,married,secondary,594,yes,no,no
33,management,married,tertiary,0,no,no,no
36,blue-collar,married,secondary,414,no,no,no
54,blue-collar,married,secondary,5372,yes,no,no
25,management,single,tertiary,2305,no,no,no
0,management,single,tertiary,1720,no,no,no
53,blue-collar,married,secondary,6112,no,no,yes
31,blue-collar,married,tertiary,433,no,yes,no
32,self-employed,married,tertiary,428,no,yes,no
43,services,single,secondary,21,no,no,no
31,admin.,single,secondary,8626,no,no,no
53,technician,married,secondary,5797,yes,no,no
51,services,married,secondary,867,yes,no,no
25,technician,single,secondary,582,no,yes,no
36,management,single,tertiary,-679,yes,yes,no
40,admin.,single,secondary,5061,no,yes,no
43,technician,married,secondary,308,yes,no,no
31,technician,single,secondary,863,yes,no,no
48,technician,married,secondary,197,no,yes,no
34,services,married,primary,285,yes,no,no
32,services,married,secondary,414,yes,no,no
50,housemaid,single,primary,1158,yes,no,no
37,housemaid,married,secondary,12939,yes,yes,no
54,retired,married,primary,117,no,no,no
29,technician,single,tertiary,1669,no,no,yes
57,admin.,married,secondary,169,no,no,yes
46,blue-collar,married,secondary,1232,no,yes,no
55,retired,married,tertiary,8037,no,no,no
43,services,divorced,secondary,553,yes,no,no
34,admin.,married,secondary,-142,yes,no,no
25,admin.,single,secondary,483,no,yes,yes
28,services,single,secondary,387,no,no,no
35,services,married,secondary,1659,yes,no,no
50,technician,married,tertiary,199,yes,yes,no
34,blue-collar,single,primary,517,no,yes,no
58,retired,married,primary,3401,yes,no,no
41,management,single,tertiary,572,yes,no,no
31,management,single,tertiary,2915,no,no,no
54,technician,divorced,secondary,2749,yes,no,no
32,admin.,single,unknown,393,no,no,no
68,retired,divorced,primary,250,no,no,yes
28,entrepreneur,married,tertiary,59,no,no,no
30,blue-collar,married,secondary,363,yes,no,no
47,entrepreneur,married,tertiary,8118,no,no,no
28,admin.,single,tertiary,282,yes,yes,no
27,technician,single,secondary,1235,no,no,no
47,blue-collar,single,secondary,152,yes,no,no
43,blue-collar,married,secondary,128,yes,no,no
29,technician,single,secondary,307,yes,no,no
32,blue-collar,married,primary,329,yes,no,no
34,technician,married,secondary,2467,no,no,no
31,services,married,primary,997,yes,no,no
35,admin.,single,secondary,0,yes,no,no
50,blue-collar,single,primary,1558,yes,no,no
32,blue-collar,married,secondary,4471,yes,no,no
33,technician,single,tertiary,390,yes,no,no
29,technician,single,tertiary,323,no,no,no
29,services,married,secondary,222,yes,no,no
44,unemployed,married,primary,1617,no,no,no
29,student,single,tertiary,246,no,no,no
43,blue-collar,divorced,primary,177,no,no,no
27,unemployed,single,primary,1088,no,no,no
35,unemployed,single,primary,483,no,no,no
26,unemployed,single,tertiary,2170,no,no,no
36,unemployed,single,tertiary,1291,no,no,yes
51,technician,divorced,secondary,1096,no,no,no
59,technician,divorced,secondary,2735,no,no,no
56,blue-collar,married,primary,151,no,no,no
31,unemployed,single,tertiary,1489,yes,no,no
34,management,married,tertiary,0,yes,no,yes
34,technician,married,secondary,883,no,no,no
33,self-employed,married,tertiary,483,yes,no,no
29,admin.,divorced,secondary,120,no,yes,no
34,admin.,divorced,secondary,-75,no,no,no
32,unemployed,single,tertiary,507,no,no,no
56,management,married,primary,0,no,no,yes
38,technician,divorced,secondary,902,yes,no,yes
39,blue-collar,married,primary,118,no,no,yes
48,unemployed,divorced,secondary,1266,yes,no,no
26,management,single,tertiary,159,no,no,no
31,student,single,unknown,640,no,no,no
54,technician,divorced,secondary,2156,yes,no,yes
40,admin.,married,secondary,0,yes,no,no
56,unemployed,married,primary,5496,yes,no,no
65,retired,married,tertiary,1153,no,no,no
50,entrepreneur,married,tertiary,2442,no,no,no
32,management,single,tertiary,2360,no,no,yes
59,unemployed,divorced,secondary,2921,no,no,no
59,unemployed,divorced,secondary,44134,no,no,no
64,retired,married,secondary,1176,no,no,no
30,entrepreneur,married,secondary,1013,yes,no,no
41,blue-collar,married,primary,201,yes,no,yes
31,admin.,single,secondary,757,no,no,no
27,student,single,tertiary,32,no,no,no
27,management,single,secondary,924,yes,no,no
48,admin.,married,primary,3,yes,no,no
43,technician,married,tertiary,0,no,no,no
26,unemployed,single,tertiary,23494,no,no,no
48,technician,single,secondary,-92,yes,no,yes
59,retired,divorced,secondary,514,no,no,yes
54,management,married,tertiary,1303,no,no,yes
44,unemployed,married,secondary,6178,no,no,no
31,admin.,married,secondary,-106,yes,no,no
52,services,married,primary,3016,yes,yes,no
51,management,married,tertiary,2814,no,no,no
32,blue-collar,married,secondary,320,yes,yes,no
33,blue-collar,married,secondary,-266,yes,yes,no
32,housemaid,married,tertiary,357,yes,no,no
33,services,married,tertiary,546,yes,yes,no
45,unknown,married,unknown,19706,yes,no,no
51,blue-collar,married,primary,377,yes,no,no
52,entrepreneur,divorced,tertiary,199,yes,yes,no
41,management,married,tertiary,0,no,no,no
35,management,single,tertiary,1891,yes,no,no
58,blue-collar,divorced,primary,835,no,no,no
34,technician,married,secondary,427,no,no,no
52,blue-collar,single,unknown,1785,no,no,no
38,technician,single,secondary,325,no,no,no
28,unemployed,single,secondary,3463,no,no,no
53,blue-collar,married,primary,751,yes,no,yes
41,unemployed,married,secondary,2081,yes,no,no
31,blue-collar,married,primary,124,yes,no,no
28,blue-collar,single,secondary,2700,no,no,no
26,blue-collar,single,secondary,450,no,yes,no
49,admin.,married,secondary,1403,no,no,no
29,management,married,tertiary,877,no,no,no
28,technician,single,secondary,122,no,no,no
36,admin.,married,secondary,587,no,no,no
28,technician,married,secondary,679,no,yes,no
38,technician,single,tertiary,1369,yes,no,no
34,entrepreneur,single,tertiary,1295,yes,no,no
39,blue-collar,married,primary,710,no,no,no
37,technician,married,secondary,1116,yes,no,no
39,blue-collar,married,secondary,661,yes,no,no
33,management,single,tertiary,1724,no,no,no
32,management,single,secondary,-515,yes,yes,no
52,blue-collar,single,secondary,894,no,yes,no
32,management,married,tertiary,422,yes,no,no
55,management,married,secondary,964,no,no,no
34,housemaid,married,secondary,520,yes,no,no
46,management,married,tertiary,-319,yes,no,no
26,technician,single,secondary,-168,no,yes,no
30,management,single,tertiary,409,no,no,no
32,services,married,secondary,1844,yes,yes,no
44,services,married,primary,764,no,no,no
38,admin.,married,secondary,384,no,no,no
30,admin.,married,secondary,490,yes,no,no
42,services,single,secondary,58,no,no,no
30,technician,single,secondary,151,no,no,no
29,self-employed,single,tertiary,300,no,no,no
33,student,single,secondary,1883,yes,no,no
31,blue-collar,married,primary,845,no,no,no
31,technician,single,tertiary,1214,no,no,no
32,unemployed,single,tertiary,5874,no,no,no
36,blue-collar,divorced,primary,102,no,no,no
48,blue-collar,single,secondary,312,yes,yes,no
36,blue-collar,married,secondary,13,no,yes,no
34,blue-collar,married,secondary,563,no,yes,no
60,services,divorced,secondary,758,no,no,no
56,self-employed,married,tertiary,350,no,no,no
30,admin.,single,secondary,72,no,no,no
29,student,single,tertiary,559,no,no,no
29,technician,single,secondary,18,no,no,no
36,management,married,tertiary,254,no,no,yes
36,management,married,tertiary,1582,no,no,no
51,housemaid,married,primary,605,no,no,no
29,unknown,single,secondary,1288,no,no,no
32,technician,single,secondary,0,no,no,no
34,management,single,tertiary,1190,no,no,no
29,management,married,tertiary,1606,yes,no,no
42,unknown,single,primary,2398,yes,no,no
39,blue-collar,married,unknown,295,yes,no,no
42,technician,married,secondary,440,yes,no,no
27,unemployed,single,tertiary,1,no,no,no
38,management,married,tertiary,655,no,no,no
32,management,married,secondary,1215,yes,yes,no
46,technician,married,secondary,863,yes,no,no
34,blue-collar,married,secondary,261,yes,no,no
46,unknown,married,unknown,677,no,no,no
60,retired,married,tertiary,3461,no,no,no
52,management,married,tertiary,0,yes,no,no
38,services,married,tertiary,1324,yes,no,no
39,unemployed,single,secondary,-114,yes,no,yes
36,unemployed,single,tertiary,221,no,no,no
27,blue-collar,single,secondary,551,no,no,no
54,technician,divorced,secondary,258,no,no,no
69,retired,married,primary,2713,no,no,no
43,management,married,tertiary,5082,no,no,no
34,unemployed,married,tertiary,425,no,no,no
31,management,married,tertiary,1331,no,no,yes
24,admin.,single,secondary,172,no,no,no
38,management,married,tertiary,613,no,no,yes
44,admin.,married,secondary,497,yes,no,no
27,admin.,married,secondary,-401,yes,yes,no
28,student,single,tertiary,3026,no,no,no
48,unemployed,married,secondary,11371,yes,no,no
54,blue-collar,married,secondary,175,yes,no,no
36,management,married,tertiary,618,no,no,no
0,management,single,tertiary,219,no,no,no
27,blue-collar,single,primary,1,no,no,no
41,entrepreneur,married,tertiary,0,yes,no,no
26,blue-collar,single,secondary,184,no,no,no
54,retired,married,secondary,1154,yes,no,no
27,unemployed,single,secondary,0,no,yes,no
26,self-employed,married,tertiary,174,yes,no,no
32,,single,secondary,13565,no,no,no
32,technician,single,tertiary,703,yes,no,no
31,blue-collar,married,unknown,-120,yes,no,no
34,management,married,tertiary,99,no,yes,no
32,management,single,tertiary,520,no,no,yes
50,management,divorced,secondary,458,no,no,no
33,admin.,single,secondary,289,no,no,no
